id,cid,pid,p,ap,v,ciso,u,dt,yoypc,seqpc
18315_13741655_13001_1HFY-2025,18315,13741655,1HFY-2025,1HFY-2025,1420600000.0,INR,1,A,68.39734471313419,
18315_13741655_13001_1HFY-2024,18315,13741655,1HFY-2024,1HFY-2024,843600000.0,INR,1,A,,
18315_13741656_13001_FY-2027,18315,13741656,FY-2027,FY-2027,892665165.0,INR,1,E,0.7314134149417135,0.7314134149417135
18315_13741657_13001_2QFY-2020,18315,13741657,2QFY-2020,2QFY-2020,,INR,1,A,,
18315_13741657_13001_1HFY-2024,18315,13741657,1HFY-2024,1HFY-2024,1889500000.0,INR,1,A,,
18315_13741661_13001_1HFY-2025,18315,13741661,1HFY-2025,1HFY-2025,3394500000.0,INR,1,A,1.3404585622163985,
18315_13741661_13001_2QFY-2021,18315,13741661,2QFY-2021,2QFY-2021,,INR,1,A,,
18315_13741661_13001_FY-2019,18315,13741661,FY-2019,FY-2019,3090700000.0,INR,1,A,19.910766246362755,19.910766246362755
18315_13741665_13001_4QFY-2028,18315,13741665,4QFY-2028,4QFY-2028,2667396124.0563,INR,1,E,40.84479570453194,16.43271664479146
18315_13741665_13001_4QFY-2026,18315,13741665,4QFY-2026,4QFY-2026,2137304673.811272,INR,1,E,54.46301032097073,1.049459284062272
18315_13741665_13001_2QFY-2028,18315,13741665,2QFY-2028,2QFY-2028,2276012376.21938,INR,1,E,-2.209368650130603,8.823393379407966
18315_13741665_13001_FY-2026,18315,13741665,FY-2026,FY-2026,8431671838.298639,INR,1,E,34.652525444738565,34.652525444738565
18315_13741665_13001_2QFY-2016,18315,13741665,2QFY-2016,2QFY-2016,,INR,1,A,,
18315_13741665_13001_1HFY-2024,18315,13741665,1HFY-2024,1HFY-2024,3489200000.0,INR,1,A,23.29328621908127,
18315_13741665_13001_1HFY-2022,18315,13741665,1HFY-2022,1HFY-2022,2609100000.0,INR,1,A,91.67646194534235,-29.994633753689293
18315_13741665_13001_FY-2019,18315,13741665,FY-2019,FY-2019,4494900000.0,INR,1,A,-1.5053904811990533,-1.5053904811990533
18315_13741667_13001_FY-2022,18315,13741667,FY-2022,FY-2022,,INR,1,A,,
18315_13741667_13001_3QFY-2022,18315,13741667,3QFY-2022,3QFY-2022,-27100000.0,INR,1,A,-29.665071770334926,14.779874213836477
18315_13741667_13001_4QFY-2028,18315,13741667,4QFY-2028,4QFY-2028,10000000.0000034,INR,1,E,0.00000000005198642611504536,0.0
18315_13741667_13001_2QFY-2020,18315,13741667,2QFY-2020,2QFY-2020,1200000.0,INR,1,A,103.51906158357771,-80.95238095238095
18315_13741667_13001_4QFY-2027,18315,13741667,4QFY-2027,4QFY-2027,9999999.9999982,INR,1,E,-0.00000000002998858690261481,0.000000000050012022256885206
18315_13741667_13001_1QFY-2017,18315,13741667,1QFY-2017,1QFY-2017,,INR,1,A,,
18315_13741667_13001_4QFY-2016,18315,13741667,4QFY-2016,4QFY-2016,,INR,1,A,,
18315_13741667_13001_4QFY-2018,18315,13741667,4QFY-2018,4QFY-2018,,INR,1,A,,
18315_13741667_13001_1QFY-2028,18315,13741667,1QFY-2028,1QFY-2028,9999999.9999964,INR,1,E,-0.000000000028014183044435835,-0.000000000018011778593066595
18315_13741667_13001_4QFY-2017,18315,13741667,4QFY-2017,4QFY-2017,,INR,1,A,,
18315_13741668_13001_1QFY-2018,18315,13741668,1QFY-2018,1QFY-2018,782200000.0,INR,1,A,,
18315_13741668_13001_2QFY-2026,18315,13741668,2QFY-2026,2QFY-2026,1593631470.3641975,INR,1,E,29.08079299888203,5.350133560137336
18315_13741668_13001_3QFY-2016,18315,13741668,3QFY-2016,3QFY-2016,,INR,1,A,,
18315_13741668_13001_FY-2027,18315,13741668,FY-2027,FY-2027,8094664357.851614,INR,1,E,16.183506795505796,16.183506795505796
18315_13741668_13001_3QFY-2027,18315,13741668,3QFY-2027,3QFY-2027,2029440136.568105,INR,1,E,16.009931961089972,2.871591836743094
18315_13741668_13001_FY-2016,18315,13741668,FY-2016,FY-2016,,INR,1,A,,
18315_13741668_13001_1QFY-2016,18315,13741668,1QFY-2016,1QFY-2016,,INR,1,A,,
18315_13741668_13001_FY-2019,18315,13741668,FY-2019,FY-2019,3628700000.0,INR,1,A,2.3408635812392475,2.3408635812392475
18315_13741669_13001_1HFY-2021,18315,13741669,1HFY-2021,1HFY-2021,287900000.0,INR,1,A,58.71003307607497,-29.401667484060813
18315_13741669_13001_1QFY-2018,18315,13741669,1QFY-2018,1QFY-2018,293100000.0,INR,1,A,,
18315_13741669_13001_1QFY-2020,18315,13741669,1QFY-2020,1QFY-2020,305300000.0,INR,1,A,13.157894736842104,-15.73281810654154
18315_13741669_13001_3QFY-2026,18315,13741669,3QFY-2026,3QFY-2026,420171593.6360974,INR,1,E,36.73009880771148,2.6274915120386177
18315_13741669_13001_4QFY-2027,18315,13741669,4QFY-2027,4QFY-2027,404436106.047361,INR,1,E,-3.528655209454956,-21.909028150707766
18315_13741669_13001_2QFY-2016,18315,13741669,2QFY-2016,2QFY-2016,,INR,1,A,,
18315_13741669_13001_2QFY-2017,18315,13741669,2QFY-2017,2QFY-2017,,INR,1,A,,
